                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2597,                 3.7399,                 1.5392,                0.37835,                0.41408,                0.36673,                0.23864,                 1.2002,                 3.3312,                  1.513,              0.0033294,              0.0033294,              0.0033294
                      2,                 1.3054,                 2.7872,                 1.5403,                0.54985,                0.51717,                0.52699,                0.35355,                 1.2228,                  2.752,                 1.5203,              0.0065308,              0.0065308,              0.0065308
                      3,                 1.3639,                 2.6597,                 1.5769,                0.47606,                0.39486,                0.39869,                0.26179,                 1.3226,                 2.8453,                 1.6089,              0.0096002,              0.0096002,              0.0096002
                      4,                 1.4112,                 2.5186,                 1.6162,                0.62288,                0.51886,                0.56076,                0.37185,                 1.2758,                 2.0436,                 1.5537,               0.009406,               0.009406,               0.009406
                      5,                 1.3581,                 2.1887,                 1.5631,                0.68606,                0.59988,                0.64958,                0.44501,                 1.2041,                 1.5962,                 1.4738,               0.009406,               0.009406,               0.009406
                      6,                 1.3051,                 1.9865,                 1.5192,                0.69892,                0.65767,                0.70895,                0.49614,                 1.1118,                 1.4173,                 1.4134,               0.009208,               0.009208,               0.009208
                      7,                 1.2773,                 1.8273,                 1.4889,                0.74096,                0.64743,                0.71647,                0.51156,                 1.1113,                 1.3331,                  1.392,                0.00901,                0.00901,                0.00901
                      8,                 1.2632,                 1.7514,                 1.4761,                0.75439,                0.67396,                 0.7478,                0.54569,                 1.0285,                 1.2353,                 1.3344,               0.008812,               0.008812,               0.008812
                      9,                 1.2247,                 1.6139,                 1.4459,                0.79001,                0.71451,                0.77599,                0.56497,                 1.0274,                 1.0996,                 1.3378,               0.008614,               0.008614,               0.008614
                     10,                 1.2028,                 1.5575,                 1.4279,                0.78804,                0.72558,                0.77856,                 0.5782,                0.99709,                 1.0661,                 1.2975,               0.008416,               0.008416,               0.008416
                     11,                 1.1831,                 1.4725,                 1.4138,                0.78281,                 0.7498,                0.79134,                0.58835,                0.98151,                 1.0304,                 1.2945,               0.008218,               0.008218,               0.008218
                     12,                 1.1694,                 1.4298,                 1.4024,                0.81096,                0.75138,                0.81084,                0.60735,                 0.9505,                0.93401,                 1.2601,                0.00802,                0.00802,                0.00802
                     13,                  1.153,                 1.3885,                 1.3919,                0.81222,                0.75657,                0.81903,                0.60849,                 0.9623,                 0.9309,                 1.2652,               0.007822,               0.007822,               0.007822
                     14,                 1.1433,                 1.3405,                 1.3871,                0.83513,                 0.7693,                0.82348,                0.62003,                0.93075,                0.88694,                 1.2544,               0.007624,               0.007624,               0.007624
                     15,                 1.1291,                 1.3077,                 1.3687,                0.83329,                0.77131,                0.83301,                0.63501,                0.91491,                0.85975,                 1.2345,               0.007426,               0.007426,               0.007426
                     16,                 1.1141,                 1.2638,                   1.36,                0.83608,                0.78825,                0.83883,                0.63333,                0.92697,                 0.8347,                 1.2374,               0.007228,               0.007228,               0.007228
                     17,                 1.1009,                  1.226,                 1.3468,                0.85305,                0.78514,                0.84081,                0.64539,                0.89438,                 0.8092,                 1.2157,                0.00703,                0.00703,                0.00703
                     18,                 1.0859,                 1.2069,                 1.3354,                0.83911,                0.79407,                0.84781,                0.65244,                0.87922,                0.78851,                 1.1965,               0.006832,               0.006832,               0.006832
                     19,                 1.0781,                 1.1747,                 1.3289,                0.86277,                0.78955,                0.85203,                0.65621,                 0.8781,                0.76721,                 1.2001,               0.006634,               0.006634,               0.006634
                     20,                 1.0643,                  1.136,                 1.3201,                0.86302,                0.80139,                0.86065,                0.66411,                0.87019,                0.75797,                 1.1913,               0.006436,               0.006436,               0.006436
                     21,                  1.058,                 1.1216,                 1.3148,                 0.8756,                0.81013,                0.86332,                 0.6714,                0.85422,                0.71001,                 1.1783,               0.006238,               0.006238,               0.006238
                     22,                 1.0505,                 1.1014,                 1.3059,                0.87003,                0.80615,                0.86478,                0.67297,                0.84485,                0.71178,                 1.1716,                0.00604,                0.00604,                0.00604
                     23,                 1.0424,                  1.085,                 1.3062,                0.85804,                0.81853,                0.86692,                0.67789,                0.83957,                0.69919,                 1.1608,               0.005842,               0.005842,               0.005842
                     24,                 1.0305,                 1.0566,                 1.2902,                 0.8791,                0.82344,                0.87334,                0.68237,                0.83054,                0.68738,                  1.163,               0.005644,               0.005644,               0.005644
                     25,                 1.0286,                 1.0428,                 1.2918,                 0.8658,                0.84045,                0.87997,                0.68943,                0.83039,                0.65468,                 1.1545,               0.005446,               0.005446,               0.005446
